         12681992 function calls (12672568 primitive calls) in 6.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 blocks.py:200(fill_value)
       45    0.000    0.000    0.000    0.000 base.py:7372(maybe_extract_name)
       72    0.000    0.000    0.000    0.000 fromnumeric.py:3754(round_)
      324    0.000    0.000    0.000    0.000 fromnumeric.py:2328(_any_dispatcher)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(zeros_like)
       41    0.000    0.000    0.000    0.000 common.py:684(is_integer_dtype)
       42    0.000    0.000    0.000    0.000 warnings.py:487(__exit__)
      180    0.000    0.000    0.000    0.000 function_base.py:761(_select_dispatcher)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
       72    0.000    0.000    0.000    0.000 fromnumeric.py:3245(around)
       36    0.000    0.000    0.000    0.000 missing.py:699(is_valid_na_for_dtype)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(vstack)
       38    0.000    0.000    0.000    0.000 base.py:5116(_get_engine_target)
       64    0.000    0.000    0.000    0.000 cast.py:1178(maybe_infer_to_datetimelike)
       36    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(select)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(moveaxis)
       72    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       36    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(insert)
       36    0.000    0.000    0.000    0.000 take.py:554(_take_preprocess_indexer_and_fill_value)
       36    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
       36    0.000    0.000    0.000    0.000 take.py:326(_get_take_nd_function)
       38    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(repeat)
      294    0.000    0.000    0.000    0.000 multiarray.py:1079(copyto)
       36    0.000    0.000    0.000    0.000 numeric.py:150(ones)
       39    0.000    0.000    0.000    0.000 common.py:790(is_unsigned_integer_dtype)
       35    0.000    0.000    0.000    0.000 getlimits.py:679(min)
       72    0.000    0.000    0.000    0.000 numeric.py:1398(<listcomp>)
       39    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       36    0.000    0.000    0.000    0.000 shape_base.py:218(_vhstack_dispatcher)
       72    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath._monotonicity}
       37    0.000    0.000    0.000    0.000 missing.py:108(isna)
       38    0.000    0.000    0.000    0.000 __init__.py:225(compile)
       35    0.000    0.000    0.000    0.000 cast.py:919(_maybe_infer_dtype_type)
       40    0.000    0.000    0.000    0.000 common.py:736(is_signed_integer_dtype)
       55    0.000    0.000    0.000    0.000 inference.py:325(is_hashable)
       36    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       68    0.000    0.000    0.000    0.000 construction.py:676(_sanitize_ndim)
       36    0.000    0.000    0.000    0.000 generic.py:570(_get_block_manager_axis)
      120    0.000    0.000    0.000    0.000 common.py:151(classes_and_not_datetimelike)
